User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
zaiwei,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (360),52.80 (72),Sample,2015-02-09 18:34:44+00:00,sample_result_submission.zip,False
cengstrom2,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (334),52.80 (72),Testing the result submission.,2015-02-09 23:04:20+00:00,sample_result_submission.zip,False
joyce,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (173),52.80 (72),,2015-02-10 00:18:26+00:00,sample_result_submission.zip,False
GilbertLi,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (400),52.80 (72),,2015-02-10 03:43:32+00:00,sample_result_submission.zip,False
xsong6,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (187),52.80 (72),,2015-02-10 15:30:56+00:00,sample_result_submission.zip,False
zzelig,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (223),52.80 (72),,2015-02-10 15:47:58+00:00,sample_result_submission.zip,True
zongyan,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (328),52.80 (72),,2015-02-10 15:48:05+00:00,sample_result_submission.zip,False
luyang,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (241),52.80 (72),,2015-02-10 16:04:11+00:00,sample_result_submission.zip,True
chenjing,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (209),52.80 (72),,2015-02-10 17:52:43+00:00,sample_result_submission.zip,False
hoho,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (364),52.80 (72),,2015-02-10 18:03:27+00:00,,False
RUIXIA_LI,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (300),52.80 (72),,2015-02-10 18:15:47+00:00,sample_result_submission.zip,False
danny7,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (370),52.80 (72),,2015-02-10 18:17:34+00:00,sample_result_submission.zip,False
Muser_Hao,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (313),52.80 (72),,2015-02-10 18:31:31+00:00,sample_result_submission.zip,False
Muser_Hao,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (216),52.80 (72),,2015-02-10 18:32:01+00:00,sample_result_submission.zip,False
